"","x"
"1320","SLC27A3"
"1321","GJB1"
"1322","ANTXR2"
"1323","SLC7A8"
"1324","ITPRIPL2"
"1325","LYZ"
"1326","C6orf163"
"1327","LSR"
"1328","STMN1"
"1329","DYNC1H1"
"1330","ZNF286A"
"1331","RPL36AL"
"1332","NAT9"
"1333","RASA4CP"
"1334","IPO9-AS1"
"1335","ZNF662"
"1336","GAS6-AS1"
"1337","PDSS2"
"1338","HMGCS1"
"1339","CTNNAL1"
"1340","HIST1H4D"
"1341","LOC100506321"
"1342","POU2F3"
"1343","NUTM2A"
"1344","SNRPB"
"1345","PTK2"
"1346","ACPP"
"1347","PCIF1"
"1348","TRIM35"
"1349","SLFN11"
